tanggal,judul,narasi,author,label
"Desember 28, 2023", Prabowo-Gibran Dipaksa Mundur Hakim MK Karena Tak Memenuhi Syarat Pilpres,Hasil periksa fakta Siti Lailatul Fitriyah Unggahan video dengan judul yang mengklaim Prabowo-Gibran dipaksa mundur oleh MK karena tak memenuhi syarat Pilpres merupakan konten yang […],Pemeriksa Fakta Junior,0
"Desember 28, 2023"," Prabowo Ketangkap Basah, Aparat Temukan Uang Triliunan Hasil Dana Gelap",Hasil periksa fakta Siti Lailatul Fitriyah Unggahan video dengan klaim bahwa Prabowo ketangkap basah dan aparat temukan uang triliunan hasil dana gelap adalah konten yang […],Pemeriksa Fakta Junior,0
"Desember 28, 2023", Gibran Tukang Provokasi! Jutaan Warga Tolak Kedatangan Capres dan Cawapres Nomor Urut 02,Hasil periksa fakta Siti Lailatul Fitriyah Unggahan video dengan judul yang mengklaim bahwa Jutaan warga tolak kedatangan Prabowo dan Gibran karena dianggap provokator adalah konten […],Pemeriksa Fakta Junior,0
"Desember 28, 2023", Video “Waena mulai diserang”,"Bukan di Waena. Lokasi kejadian di video itu adalah di Jalan Pasar Lama, Sentani, Kabupaten Jayapura, Papua. Selengkapnya di bagian PENJELASAN dan REFERENSI.===========================================Kategori: Konten yang […]",Adi Syafitrah,0
"Desember 28, 2023", “Bocil masih butuh panduan atau arahan”,"MENYESATKAN, memanfaatkan isu yang sedang berlangsung. FAKTA: selain video dan foto yang dibagikan dari konteks waktu TIDAK saling berkaitan, tahun 2023 vs tahun 2019, isu […]",Aribowo Sasmito,0
"Desember 27, 2023", Yamaha Bagi-Bagi Hadiah Motor di Tiktok,"Hasil periksa fakta Vendra Panji Tidak benar bahwa Yamaha Indonesia memberikan hadiah motor di Tiktok, akun yang mengatasnamakan Yamaha tersebut dapat diindikasi sebagai akun penipuan. […]",Pemeriksa Fakta Junior,0
"Desember 27, 2023", Indonesia Diam-Diam Luncurkan Kapal Induk di Akhir Tahun 2023,"Hasil periksa fakta Vendra Panji Hingga saat ini Indonesia masih belum memiliki dan belum membutuhkan kapal induk, sehingga video yang menampilkan pelepasan kapal induk ke […]",Pemeriksa Fakta Junior,0
"Desember 27, 2023", Gibran Mencontek Prompter di Debat Cawapres,Hasil periksa fakta Vendra Panji Isi yang disajikan dalam video tidak menjelaskan informasi yang sesuai pada judul. Tidak ada pembahasan tentang klaim jika Gibran melihat […],Pemeriksa Fakta Junior,0
"Desember 27, 2023", Cak Imin Dijadikan Kambing Hitam oleh Surya Paloh,Hasil periksa fakta ‘Ainayya Al Fatikhah. Unggahan video yang mengklaim bahwa penetapan Cak Imin sebagai Cawapres menjadi upaya cuci tangan dari Surya Paloh merupakan konten […],Pemeriksa Fakta Junior,0
"Desember 27, 2023", Bill Gates: Mengganti Makanan Asli dengan Makanan Modifikasi Genetika Jadi Solusi Melawan Global Boiling,Hasil periksa fakta Moch. Marcellodiansyah Bill & Melinda Gates Foundation membantah bahwa Bill Gates pernah mengatakan hal tersebut. Bill Gates hanya mengambil contoh di Kenya […],Pemeriksa Fakta Junior,0
"Desember 27, 2023", KPU Membenarkan Gibran Beli Ijazah Palsu di Australia Senilai 500M,Hasil periksa fakta Moch. Marcellodiansyah Faktanya tidak ada sumber valid yang membenarkan klaim tersebut. Diketahui Gibran lulus dari Management Development Institute of Singapore (MDIS) pada […],Pemeriksa Fakta Junior,0
"Desember 27, 2023", Video Seorang Ayah Palestina Menghibur Anaknya Bahwa Suara Bom yang Mereka Dengar adalah Suara Mainan,"Hasil periksa fakta Moch. Marcellodiansyah Faktanya video tersebut direkam di Suriah yang diajari tertawa ketika mendengar suara tembakan pada 2020, bukan seorang Ayah dan Putrinya […]",Pemeriksa Fakta Junior,0
"Desember 27, 2023", “Rohingya dan Inggris Datang ke Myanmar untuk Menjajah Kemudian Rohingya Tinggal di Sana”,"Hasil periksa fakta Moch. Marcellodiansyah Faktanya etnis Rohingya sudah secara turun-temurun tinggal di Rakhine, Myanmar. Namun mereka menjadi korban genosida yang dilakukan Pemerintah Myanmar sejak […]",Pemeriksa Fakta Junior,0
"Desember 27, 2023", Jumlah Wisatawan Yogyakarta Jauh Lebih Banyak Dibandingan Wisatawan Solo,"Hasil periksa fakta Agnes Amungkasari. Faktanya, jumlah wisatawan yang datang ke Kota Solo justru lebih banyak dibandingkan Kota Yogyakarta pada libur Idul Fitri. ===== [KATEGORI]: […]",Tim Kalimasada,0
"Desember 27, 2023", Belum Ada Investor Asing di Proyek IKN,"Hasil periksa fakta Agnes Amungkasari. Menteri Investasi Bahlil Lahadalia menjelaskan, sudah ada investasi asing senilai kurang-lebih Rp 50 triliun yang masuk ke proyek IKN yang […]",Tim Kalimasada,0
"Desember 27, 2023", Link Video Mesum Melalui DM Instagram,"Hasil periksa fakta Agnes Amungkasari. Modus penipuan phishing. Bila link yang dikirimkan melalui DM Instagram diklik, maka korban akan diarahkan ke situs phising dan diminta […]",Tim Kalimasada,0
"Desember 27, 2023", SURAT TILANG DIGITAL APK,"Hasil periksa fakta Agnes Amungkasari. Kepala Korps Lalu Lintas Polri mengatakan, pesan WA dari akun yang mengatasnamakan polantas dan berisi file APK “SURAT TILANG DIGITAL” […]",Tim Kalimasada,0
"Desember 27, 2023", Email Undangan Seleksi Kerja PT. KAO Indonesia,"Hasil periksa fakta Agnes Amungkasari. Konten palsu. PT Kao Indonesia tidak pernah meminta uang, menjanjikan pengembalian dana akomodasi, transportasi, konsumsi dan sebagainya dalam pelaksanaan proses […]",Tim Kalimasada,0
"Desember 27, 2023", Video Tentara Israel Menargetkan Sniper ke Anak-anak Palestina Saat di Sekolah,"Hasil periksa fakta Moch. Marcellodiansyah Faktanya video tersebut berada di desa Afes, Suriah. Tidak ada kaitannya dengan konflik yang terjadi di Palestina. = = = […]",Pemeriksa Fakta Junior,0
"Desember 27, 2023", “petugas kpu menyusup menyamar dengan baju timses prabowo”,"MENYESATKAN, BUKAN petugas KPU. FAKTA: yang diklaim sebagai “petugas kpu” adalah Mayor Teddy, ajudan yang melekat ke Prabowo selaku Menteri Pertahanan. Selengkapnya di bagian PENJELASAN […]",Aribowo Sasmito,0
"Desember 27, 2023", Video Warga Amerika Membuang Baju Zara karena Iklan yang Menyinggung Korban di Gaza,Hasil periksa fakta Moch. Marcellodiansyah Faktanya video tersebut merupakan hasil buatan AI. = = = Kategori: Konten yang Menyesatkan = = = Sumber: Twitter https://perma.cc/AK9X-TLU4 […],Pemeriksa Fakta Junior,0
"Desember 27, 2023"," Dapat Remisi dari Presiden Jokowi, Jessica Wongso Akan Bebas 4 Januari 2024",Hasil periksa fakta Moch. Marcellodiansyah Faktanya tidak ada bukti dari sumber valid yang membenarkan bahwa Presiden Jokowi memberikan remisi kepada Jessica Wongso dan akan bebas […],Pemeriksa Fakta Junior,0
"Desember 27, 2023", Vaksin Covid-19 Jadi Penyebab Meningkatnya Kasus HIV,Hasil periksa fakta Moch. Marcellodiansyah Faktanya tidak bukti hubungan antara meningkatnya kasus HIV dengan vaksinasi Covid-19 secara massal. Ahli menyebut bahwa persediaan layanan skrining HIV […],Pemeriksa Fakta Junior,0
"Desember 27, 2023", Surya Paloh Menyesal Dukung Anies Sebagai Capres,Hasil periksa fakta ‘Ainayya Al Fatikhah. Unggahan video yang mengklaim bahwa Surya Paloh menyesal telah mendeklarasikan Anies Baswedan sebagai Capres dalam Pemilu 2024 merupakan konten […],Pemeriksa Fakta Junior,0
"Desember 27, 2023", 239 Rumah di 28 Kecamatan Tertimbun Tanah Longsor,Hasil periksa fakta ‘Ainayya Al Fatikhah. Unggahan video yang mengklaim bahwa sebanyak 239 rumah di 28 kecamatan telah rata dengan tanah akibat bencana longsor merupakan […],Pemeriksa Fakta Junior,0
"Desember 27, 2023", Video Warga Thailand di Israel Diserang Hamas Saat Gencatan Senjata,"Hasil periksa fakta Moch. Marcellodiansyah Faktanya video tersebut merupakan latihan pasukan anti terorisme di Korea Selatan pada 2019, tidak ada kaitannya dengan konflik antara Hamas […]",Pemeriksa Fakta Junior,0
"Desember 27, 2023", Video Yaman Mengebom Kapal Kargo Israel di Laut Merah,Hasil periksa fakta Moch. Marcellodiansyah Faktanya video tersebut merupakan kebakaran dari kapal pengangkut bahan kimia pada tahun 2021 di Sri Lanka. = = = Kategori: […],Pemeriksa Fakta Junior,0
"Desember 27, 2023", Foto Tentara Israel Menginjak Seorang Anak Perempuan dengan Sepatu Botnya dan Menodongkan Senapan di Kepalanya,Hasil periksa fakta Moch. Marcellodiansyah Faktanya foto tersebut tidak ada kaitannya dengan konflik antara Palestina dan Israel akhir-akhir ini. Foto tersebut sudah lama beredar yang […],Pemeriksa Fakta Junior,0
"Desember 27, 2023", Video “Ribuan Ikan Serang Kapal Israel di Laut! Karma Nyata?”,"Hasil periksa fakta Moch. Marcellodiansyah Faktanya beberapa sumber menyebut bahwa video tersebut kejadian di Al Fujairah, Uni Emerat Arab. = = = Kategori: Konten yang […]",Pemeriksa Fakta Junior,0
"Desember 27, 2023", Banjir Bandang Mengerikan Hanyutkan Rumah Ibadah dan Lenyapkan Puluhan Orang,Hasil periksa fakta ‘Ainayya Al Fatikhah. Unggahan video yang mengklaim bahwa bencana banjir bandang mengerikan telah menghanyutkan rumah ibadah dan melenyapkan puluhan orang merupakan konten […],Pemeriksa Fakta Junior,0
"Desember 26, 2023", Surat Validasi Data Aset BMN Oleh KPKNL Metro,Hasil periksa fakta Rahmah an. Hasil periksa fakta Rahmah an. Surat palsu. KPKNL Metro menyampaikan informasi dalam surat tersebut ialah hoaks. KATEGORI: KONTEN PALSU ===SUMBER: […],Pemeriksa Fakta Junior,0
"Desember 26, 2023", Pesan Berantai Imbauan Ibu Dubes KBRI Kuala Lumpur Dan IDI Keluarkan Daftar Minuman Mengandung Aspartam,Hasil periksa fakta Rahmah an. HLBK. KBRI Kuala Lumpur menegaskan informasi tersebut hoaks dan IDI tidak mengeluarkan pesan tersebut.= = =Kategori: Konteks yang Menyesatkan= = […],Pemeriksa Fakta Junior,0
"Desember 26, 2023", Klaim Penyebaran Nyamuk Wolbachia Menyebabkan Penyakit Japanese Encephalitis,Hasil periksa fakta Rahmah an. Kementerian Kesehatan menegaskan postingan tersebut hoaks. Penyakit Japanese Encephalitis (JE) disebabkan oleh virus JE dan ditularkan melalui nyamuk culex. BUKAN […],Pemeriksa Fakta Junior,0
"Desember 26, 2023", Akun WhatsApp Pj Bupati a Murung Raya Hermon,"Hasil periksa fakta Rahmah an. Kabid Pengelolaan Informasi dan Komunikasi Publik, Hendry Januardy mengatakan akun tersebut tidak benar. KATEGORI: IMPOSTER CONTENT/KONTEN TIRUAN ===Sumber WhatsAp NARASI:“ShalomMaaf […]",Pemeriksa Fakta Junior,0
"Desember 26, 2023", MrBeast Membeli Pulau Sentinel Utara Untuk ditempati Etnis Rohingya,Hasil periksa fakta Dyah Febriyani Tidak benar. Tidak ditemukan konten seperti klaim tersebut di kanal YouTube Mr.Beast. Unggahan tersebut merupakan hasil manipulasi. [KATEGORI]Parodi [SUMBER]TikTokhttps://archive.cob.web.id/archive/1703138523.064511/index.html [NARASI]“Aku […],Tim Kalimasada,0
"Desember 26, 2023", Pimpinan UGM Mengeluarkan Ketua BEM yang Menghina Jokowi,"Hasil periksa fakta Dyah Febriyani Informasi tidak benar. Dilansir dari Harianjogja.com, Sekretaris UGM, Dr Andi Sandi Antonius Tabusassa Tonralipu menegaskan bahwa kabar tersebut merupakan hoaks atau […]",Tim Kalimasada,0
"Desember 26, 2023", Foto Burung Elang Dari Depan,"Hasil periksa fakta Dyah Febriyani Foto tersebut hasil manipulasi. Peneliti Pusat Riset Biosistematika dan Evolusi Badan Riset dan lnovasi Nasional (BRIN) Hidayat Ashari menjelaskan, foto […]",Tim Kalimasada,0
"Desember 26, 2023", Raffi Ahmad Merapat Ke Barisan Timnas Anies,"Hasil periksa fakta Dyah Febriyani Informasi tidak benar. Dalam video TikTok yang beredar tersebut, tidak ditemukan pernyataan Raffi Ahmad bahwa ia bergabung dengan Tim Nasional […]",Tim Kalimasada,0
"Desember 26, 2023", “Kemenkes Himbau Masyarakat untuk pakai masker di Indonesia mulai 15 Desember 2023”,"Hasil periksa fakta Yudho ArdiFaktanya, Kementrian Kesehatan tidak pernah mengeluarkan surat edaran terkait kewajiban menggunakan masker. ===== [KATEGORI]: KONTEN YANG MENYESATKAN ===== [SUMBER]: TWITTERhttps://archive.ph/rXevj ===== […]",Tim Kalimasada,0
"Desember 25, 2023", Alasan Para Artis dan Pengusaha Tidak Mendukung Anies sebagai Capres,Hasil periksa fakta ‘Ainayya Al Fatikhah. Unggahan video yang mengklaim bahwa terdapat beberapa alasan tidak didukungnya Anies oleh para artis dan pengusaha dalam Pemilu 2024 […],Pemeriksa Fakta Junior,0
"Desember 25, 2023", Video Brokoli Produksi Laboratorium Bill Gates,Hasil periksa fakta Moch. Marcellodiansyah Faktanya video tersebut dibuat oleh Russel Cameron yang merupakan seorang artist dan creator. Perwakilan dari Bill & Melinda Gates Foundation […],Pemeriksa Fakta Junior,0
"Desember 25, 2023", Ombak Tsunami Setinggi 10 Meter Hancurkan Tempat Wisata,Hasil periksa fakta ‘Ainayya Al Fatikhah. Unggahan video yang mengklaim bahwa ombak tsunami setinggi 10 meter telah menghancurkan sebuah tempat wisata merupakan konten yang dimanipulasi. […],Pemeriksa Fakta Junior,0
"Desember 25, 2023", Bill Gates Meminta Pemerintah untuk Mengganti Makanan Asli dengan Makanan Modifikasi Genetika,Hasil periksa fakta Moch. Marcellodiansyah Faktanya klaim tersebut tidak mendasar. Bill & Melinda Gates Foundation membantah bahwa Bill Gates menyampaikan hal tersebut. = = = […],Pemeriksa Fakta Junior,0
"Desember 25, 2023", Gempa Bumi Bermagnitudo 9.8 Hancurkan Wilayah Indonesia Bagian Barat,Hasil periksa fakta ‘Ainayya Al Fatikhah. Unggahan video yang mengklaim bahwa bencana gempa bumi bermagnitudo 9.8 telah menghancurkan wilayah Indonesia bagian barat merupakan konten yang […],Pemeriksa Fakta Junior,0
"Desember 25, 2023", 237 Orang Tewas Tertimbun Tanah Longsor,"Hasil periksa fakta ‘Ainayya Al Fatikhah. Unggahan video yang mengklaim bahwa bencana tanah longsor telah menewaskan 237 orang merupakan konten yang dimanipulasi. Faktanya, judul dan […]",Pemeriksa Fakta Junior,0
"Desember 25, 2023", Sebuah Truk Menabrak Pengunjuk Rasa Pro-Palestina di Los Angeles,"Hasil periksa fakta Evarizma Zahra. Konteks yang salah. Video tersebut diambil saat protes Black Lives Matter di Oklahoma pada 2020 lalu, bukan saat demo gencatan […]",Pemeriksa Fakta Junior,0
"Desember 25, 2023", Produk dengan Kode Awalan Barcode 729 Dibuat di Israel,Hasil periksa fakta Evarizma Zahra. Konten yang menyesatkan. Tiga angka awal pada kode barcode produk tidak menunjukkan di mana produk tersebut dibuat. ===== KATEGORI: KONTEN […],Pemeriksa Fakta Junior,0
"Desember 24, 2023", Prof Suparman Usman minta tidak akses Google dan Youtube,"Hasil Periksa Fakta Luthfiyah OJ (UIN Raden Mas Said Surakarta). Informasi mengenai Prof Suparman Usman minta tidak akses Google dan Youtube merupakan hoaks. Faktanya, Prof […]",Pemeriksa Fakta Junior,0
"Desember 24, 2023", Video Gus Miftah menyuap Abah Kirun,Hasil Periksa Fakta Luthfiyah OJ (UIN Raden Mas Said Surakarta). Video Gus Miftah menyuap Abah Kirun merupakan hoaks hal tersebut dikatakan oleh Abah Kirun dan […],Pemeriksa Fakta Junior,0
"Desember 24, 2023", PRABOWO TOLAK BERSALAMAN DENGAN ANIES GARA-GARA KALAH DEBAT,"Hasil periksa fakta Pekik Jalu Utomo.Judul, thumbnail dan isi video tidak berkaitan. Tidak ditemukan informasi dalam video terkait Prabowo menolak bersalaman dengan Anies. Dalam video […]",Tim Kalimasada,0
"Desember 24, 2023", ANIES AKAN BUBARKAN BUMN JIKA TERPILIH MENJADI PRESIDEN,"Hasil periksa fakta Pekik Jalu Utomo.Faktanya, melalui wawancara dengan media Anies Baswedan telah membantah isu terkait dirinya akan bubarkan BUMN. Anies justru akan mendorong kemajuan […]",Tim Kalimasada,0
"Desember 24, 2023", Habib Rizieq Tuntut Zulhas Mundur,Hasil periksa fakta Agnes Amungkasari. Tidak ada informasi yang menjelaskan klaim Habib Rizieq menuntut Zulkifli Hasan untuk mundur. Video yang ditampilkan adalah cuplikan PA 212 […],Tim Kalimasada,0
"Desember 23, 2023", File APK Daftar PPS Pemilu 2024,Hasil periksa fakta Agnes Amungkasari. Modus penipuan baru. File APK dengan judul PPS PEMILU 2024 tersebut berisi file aplikasi yang bisa mencuri data pribadi. ===== […],Tim Kalimasada,0
"Desember 23, 2023", Akun Penipuan yang Mengatasnamakan Ganjar Pranowo di Tiktok,"Hasil periksa fakta Vendra Panji Tidak benar bahwa Ganjar Pranowo memiliki akun Tiktok yang berisi konten bagi-bagi hadiah, akun yang mengatasnamakan Ganjar tersebut dapat diindikasi […]",Pemeriksa Fakta Junior,0
"Desember 23, 2023"," JUDUL ARTIKEL LIPUTAN6 “PRESIDEN ISRAEL: BILA TERUS IKUT CAMPUR, KAMI BERJANJI AKAN BUAT INDONESIA SEPERTI PALESTINA”","Hasil periksa fakta Pekik Jalu Utomo.Faktanya pada tanggal 20 Desember 2017 Liputan6.com tidak menayangkan artikel berjudul “Presiden Israel: Bila Terus Ikut Campur, Kami Berjanji Akan Buat Indonesia […]",Tim Kalimasada,0
"Desember 23, 2023"," AKUN UNHCR INDONESIA MINTA PEMERINTAH INDONESIA BERIKAN RUMAH, MAKAN, DAN KTP UNTUK RAKYAT ROHINGYA","Hasil periksa fakta Pekik Jalu Utomo.Akun palsu, melalui akun instagram resminya UNHCR telah membantah bahwa postingan tersebut bukan dari akun resmi UNHCR Indonesia. ======= [KATEGORI]: […]",Tim Kalimasada,0
"Desember 23, 2023", GANJAR TANTANG GIBRAN DEBAT TERBUKA,"Hasil periksa fakta Pekik Jalu Utomo.Faktanya tidak ditemukan informasi terkait Ganjar yang menantang Gibran untuk debat terbuka. Selain thumbnail merupakan hasil manipulasi, beberapa cuplikan yang […]",Tim Kalimasada,0
"Desember 23, 2023"," “Kenapa si No 2 ini sampai gunakan 3 (TIGA) MIC sekaligus, Mengapa 2 Calon yg lain BEDA?”","Cawapres no 1, Cak Imin dan Cawapres no 3, Mahfud MD juga menggunakan alat yang sama dengan yang digunakan oleh Cawapres no 2, Gibran pada […]",Adi Syafitrah,0
"Desember 22, 2023", Merapi Meletus Kubur 12 Desa dengan Abu Vulkanik,"Hasil periksa fakta Vendra Panji Isi video hanya memaparkan informasi mengenai status Merapi yang disampaikan BPPTKG, tidak benar jika Merapi baru saja erupsi hingga kubur […]",Pemeriksa Fakta Junior,0
"Desember 22, 2023", Menteri Luar Negeri Retno Marsudi Usir Rohingya,Hasil periksa fakta Vendra Panji Retno Marsudi hanya menyampaikan ajakan masyarakat internasional bekerja sama untuk menghentikan konflik yang terjadi dan memulihkan demokrasi di Myanmar dan […],Pemeriksa Fakta Junior,0
"Desember 22, 2023", Ahli Psikolog Ungkap Bahaya Penyakit Yang Diderita Prabowo,Hasil periksa fakta Vendra Panji Isi yang disajikan dalam video tidak menjelaskan informasi yang sesuai pada judul. Tidak ada pembahasan tentang ungkapan seorang psikolog terhadap […],Pemeriksa Fakta Junior,0
"Desember 22, 2023", Eko Patrio Adakan Giveaway 30 Juta di Tiktok,"Hasil periksa fakta Vendra Panji Tidak benar bahwa Eko Patrio memberikan hadiah uang sebesar 30 juta rupiah di Tiktok melalui games tebak gambar, akun yang […]",Pemeriksa Fakta Junior,0
"Desember 22, 2023",: Gibran bawa uang sekarung untuk bagi-bagi di pondok Kyai Said,Hasil periksa fakta Laurensius Raka. [FAKTANYA]: Video Cawapres Gibran sedang bertemu Kyai Said untuk bagi-bagi uang adalah tidak benar. Video tersebut telah dimanipulasi dengan kalimat […],Pemeriksa Fakta Junior,0
"Desember 21, 2023"," Foto “Megawati bertemu dengan Gibran, Ganjar, Prabowo dan Jokowi di Rapat Fraksi PDI Perjuangan DPRD DKI Jakarta”",Foto editan. Foto tersebut merupakan hasil manipulasi dengan menggabungkan foto ketika Gibran menerima surat keputusan Rapimnas Partai Golkar di kantor DPP Partai Golkar pada Oktober […],Adi Syafitrah,0
"Desember 21, 2023", Akun WhatsApp Sekda Kabupaten Kuningan Dian Rachmat Yanuar,Hasil periksa fakta Rahmah an. Dian Rachmat Yanuar menegaskan mohon tidak menanggapi nomor tersebut. KATEGORI: IMPOSTER CONTENT/KONTEN TIRUAN ===Sumber WhatsApp NARASI:“Akun WhatsApp Sekretaris Daerah Kabupaten […],Pemeriksa Fakta Junior,0
"Desember 21, 2023", Akun Facebook Pj Walikota Pekanbaru Muflihun Sstp Map,Hasil periksa fakta Rahmah an. Dokpim Pekanbaru menegaskan akun Facebook tersebut hoaks. KATEGORI: IMPOSTER CONTENT/KONTEN TIRUAN Sumber: Facebookhttps://archive.cob.web.id/archive/1703041867.161137/index.html NARASI:“Ahamdulillah baik juga Maaf ganggu saya mau […],Pemeriksa Fakta Junior,0
"Desember 21, 2023", Akun WhatsApp Wakil Bupati Minahasa Selatan Petra Rembang,Hasil periksa fakta Rahmah an. Petra Rembang mengklarifikasi bahwa nomor WhatsApp tersebut bukan miliknya. KATEGORI: IMPOSTER CONTENT/KONTEN TIRUAN ===Sumber WhatsApp NARASI:“Shalom”“Apakah benar ini dengan salah […],Pemeriksa Fakta Junior,0
"Desember 21, 2023",: Prabowo tidak hafal Pancasila,Hasil periksa fakta Laurensius Raka. [FAKTANYA]: Video yang menampilkan Capres Prabowo tidak hafal saat menyebutkan isi dari Pancasila adalah tidak benar. Video tersebut merupakan gabungan […],Pemeriksa Fakta Junior,0
"Desember 20, 2023", SBY Ajak Mencoblos Nomor 1 Pasangan Amin,Hasil Periksa Fakta Luthfiyah OJ (UIN Raden Mas Said Surakarta). Video SBY mengajak untuk coblos nomor 1 pasangan Amin merupakan potongan video yang tidak lengkap. […],Pemeriksa Fakta Junior,0
"Desember 20, 2023",: “KEJAGUNG SITA ASET HARY TANOE BUNTUT KASUS KORUPSI”,"Hasil periksa fakta Yudho Ardi Konten yang menyesatkan, faktanya salah satu cuplikan video tersebut merupakan momen Hary Tanoe diperiksa kedua kalinya oleh Kejagung atas dugaan […]",Tim Kalimasada,0
"Desember 20, 2023",: Pengungsi Rohingnya diberangkatkan dari Bangladesh menuju Indonesia,Hasil periksa fakta Laurensius Raka. [FAKTANYA]: Video yang menampilkan sebuah kapal ferry mengangkut pengungsi Rohingnya menuju Indonesia adalah tidak benar. Video tersebut merupakan potongan dari […],Pemeriksa Fakta Junior,0
"Desember 19, 2023", Honda Berbagi Motor dan Uang 15 Juta,"Hasil periksa fakta Vendra Panji Tidak benar bahwa Honda Indonesia memberikan hadiah motor dan uang jutaan rupiah di Tiktok, akun yang mengatasnamakan Honda tersebut dapat […]",Pemeriksa Fakta Junior,0
"Desember 19, 2023", Golkar Resmi Dukung Anies di Pilpres 2024,Hasil periksa fakta Vendra Panji Potongan video yang dimunculkan merupakan potongan video pidato Airlangga dalam acara Munaslub Partai Golkar tahun 2017 silam. Isi video juga […],Pemeriksa Fakta Junior,0
"Desember 19, 2023"," “UMMAT ISLAM YANG PUNYA IMAN, GAK AKAN DUKUNG PRABOWO Di PILPRES 2024”","MENYESATKAN, memotong konteks. FAKTA: konteks utuh dari tangkapan layar artikel yang dibagikan terletak di kalimat kedua pada paragraf pertama, mengenai jawaban Grace Natalie dari PSI […]",Aribowo Sasmito,0
"Desember 19, 2023", Gempa Dahsyat Hancurkan 23 Desa,"Hasil periksa fakta ‘Ainayya Al Fatikhah. Unggahan video yang mengklaim bahwa bencana gempa bumi dahsyat telah menghancurkan 23 desa merupakan konten yang dimanipulasi. Faktanya, narator […]",Pemeriksa Fakta Junior,0
"Desember 19, 2023", Akun WhatsApp Kepala Kejari Malinau,Hasil Periksa Fakta Rahmah an. Kejari Malinau mengklarifikasi bahwa akun WhatsApp tersebut palsu. Segera melapor ke hotline resmi 0853 9236 1733 atau ke media sosial […],Pemeriksa Fakta Junior,0
"Desember 19, 2023", RSUD Syamsudin Mengadakan Give Away Tebus Murah,"Hasil periksa fakta Rahmah an. Melalui situs resmi rsudsyamsudin.co.id, diinformasikan bahwa akun Instagram resmi RSUD Syamsudin sedang diretas pihak tidak bertanggung jawab. KATEGORI: KONTEN PALSU […]",Pemeriksa Fakta Junior,0
